t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
4.437,-0.0527,0.7246,10.8398,0.8438,19.5000,0.61,87.17,88.81,1
4.455,0.0059,0.3340,-0.1914,0.7266,2.7187,0.61,89.41,89.93,1
4.474,0.0332,0.1387,0.6133,0.7266,4.6328,0.61,91.47,91.36,1
4.488,-0.0371,-0.1992,1.4922,-0.6523,3.3320,0.61,93.88,91.64,1
4.505,0.0000,-0.4238,4.7500,2.7969,7.1680,12.15,90.42,95.46,1
4.522,0.0352,-0.2285,10.9961,-1.1094,18.0039,12.15,89.18,97.83,1
4.541,-0.0039,0.1992,5.5937,0.4219,16.0117,12.15,89.06,96.44,1
4.556,-0.0020,-0.1172,2.0703,-2.3750,8.0781,12.15,91.44,96.16,1
4.574,0.0449,-0.3809,-0.4219,0.1523,6.2812,12.15,94.50,94.93,1
4.590,0.0117,-0.4238,4.7891,-1.5703,9.1211,12.15,91.81,96.79,1
4.607,-0.0801,0.5977,7.1641,-0.1523,17.4727,12.15,93.87,96.48,1
4.626,-0.0293,0.4551,-0.0781,0.0781,5.7852,12.15,96.05,98.83,1
4.643,0.0352,0.1348,1.6094,-1.1875,5.7031,12.15,97.40,101.13,1
4.661,-0.0137,0.1035,2.1055,-1.0352,12.5273,12.15,93.91,100.28,1
4.675,0.0234,-0.0410,4.9414,0.0781,13.3281,12.15,95.32,99.83,1
4.692,0.0234,0.1191,3.2578,-0.9961,6.8516,12.15,98.69,102.74,1
4.711,-0.0234,0.2246,3.4492,-0.8438,9.9648,14.08,99.73,104.60,1
4.726,0.0332,-0.0996,1.4570,-3.9453,8.1992,14.08,102.67,103.82,1
4.743,0.0215,-0.0293,2.1836,-1.9141,9.3867,14.08,105.32,105.84,1
4.761,0.0488,-0.0742,3.2187,-1.1875,8.6992,14.08,102.04,109.02,1
4.777,0.0645,0.0176,2.4883,-1.8398,10.1523,14.08,104.20,108.52,1
4.794,0.0391,0.0293,2.8711,0.3828,11.8789,14.08,107.01,110.19,1
4.814,0.0645,-0.1270,2.9102,-0.6523,10.4570,14.08,105.98,113.46,1
4.832,0.0586,-0.1191,3.5625,-1.4570,9.3086,14.08,107.92,112.26,1
4.845,0.0781,-0.0742,3.8672,-0.5742,7.0859,14.08,110.88,114.30,1
4.864,0.0840,-0.0273,4.7109,-0.5742,11.4570,14.08,107.71,115.17,1
4.881,0.0859,-0.0195,4.0234,-2.3750,10.1133,14.08,109.88,115.42,1
4.896,0.0703,-0.1133,2.1055,-1.1094,6.7812,16.24,111.93,118.58,1
4.913,0.0898,-0.0684,2.3359,-0.2695,7.9336,16.24,113.84,121.26,1
4.930,0.0879,-0.0293,3.9062,-2.1445,10.4180,16.24,116.69,118.20,1
4.947,0.0723,0.0000,4.1758,-0.1914,9.0391,16.24,115.01,123.76,1
4.964,0.0703,0.0859,2.8359,0.0000,10.4180,16.24,117.40,125.31,1
4.984,0.0645,-0.0137,2.7578,0.0781,8.5000,16.24,121.21,122.82,1
4.998,0.0449,-0.0449,2.7578,0.0781,8.5000,16.24,116.62,126.86,1
5.015,0.0430,-0.0898,3.7539,-1.0352,10.6523,16.24,118.26,126.61,1
5.034,-0.0059,-0.0859,2.8359,0.4219,7.7344,16.24,121.23,125.17,1
